name,prompt,negative_prompt
____Negative Prompts____,,
Default_Negative (Low Token) 🖋,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry",
Default_Negative (sfw) 🖋,"NSFW, Cleavage, Pubic Hair, Nudity, Naked, Au naturel, Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers",
Default_Negative 🖋,"Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers",
____Background  Prompts____,,
Background ⬛,"A style of drawing that uses a black background to create a dramatic, high-contrast effect",
Background ⬜,"A style of drawing that uses a white background to create a clean, minimalist effect",
Neutral background,"A style of drawing that uses a plain, neutral background to draw attention to the subject of the drawing",
____Positive Prompts____,,
3D Character 🖋,"3D toy, standing character, tiny, cute, soft lighting, pastel colors, skottie young, blender, pop surrealism, pbr",
Adorable 🖋,"Cute and adorable cartoon, fantasy, dreamlike, surrealism, super cute, trending on artstation",
Anime Portrait 🖋,"portrait of an anime person, aesthetic, wlop, trending on artstation, deviantart, anime key visual, 8k uhd",
Anime 🖋,"A style of drawing that emulates the distinctive visual style of Japanese anime and manga, often featuring colorful characters with large eyes and exaggerated expressions",
ArchViz 🖋,"by James McDonald and Joarc Architects, home, interior, octane render, deviantart, cinematic, key art, hyperrealism, sun light, sunrays, canon eos c 300, Æ’ 1.8, 35 mm, 8k",
Artistic 🖋,A style of drawing that uses traditional drawing tools and techniques to create visually striking and expressive pieces of art,
Beautiful Portrait 🖋,"alluring portrait, intricate, highly detailed, digital painting, artstation, concept art, naughty, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety",
Black and White Film Noir,"(b&w, Monochromatic, Film Photography:1.3),  Photorealistic, Hyperrealistic, Hyperdetailed, film noir, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
Building 🖋,"shot 35 mm, realism, octane render, 8k, trending on artstation, 35 mm camera, unreal engine, hyper detailed, photo-realistic maximum detail, volumetric light, realistic matte painting, hyper photorealistic, trending on artstation, ultra-detailed, realis",
Caricature 🖋,"Cartoon caricature realistic, cute as a pixar disney character caricature cute full body from up 2009 unreal engine octane render 3d render photorealistic",
Cartoon 🖋,"A style of drawing that emphasizes humor and lightheartedness, often featuring exaggerated features and simplified shapes",
CGI Character 🖋,"portrait of a CGI animation character, magical background, bright natural lighing, backlighting, professional studio quality, looking at camera, large round cute detailed eyes, detailed, cute, adorable, intricately detailed, fantasy art, digital painting",
Comic Art 🖋,"Retro style artwork, comic book art, high details, comic book cover, symmetrical, vibrant colors",
Control Room 🖋,"steampunk happy Funny cartoonish at a complex nuclear control room, by Gediminas Pranckevicius H 704, machinarium style, intricate",
Cute Creature 🖋,"cute cute cute creature, an illustration by esao andrews, cyril rolando and goro fujita, deviantart, fantasy art, storybook illustration, oil on canvas",
Cute Creatures 🖋,"3d fluffy, closeup cute and adorable, cute big circular reflective eyes, long fuzzy fur, Pixar render, unreal engine cinematic smooth, intricate detail, cinematic",
Cute Kawaii 🖋,"cute, tiny, little chibi, kawai, furry, great face expression, dynamic pose, trending on artstation, cinematic, hyper realism, high detail, 8k, 8mm, octane render, bokeh, artstation, detailed, character design by mark ryden and pixar",
CyberPunk 🖋,"cyberpunk, in heavy raining futuristic tokyo rooftop cyberpunk night, sci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration,",
Dark 🖋,"Style of stephen gammell, watercolors, black and white, swamp, shadowy creatures, dripping, infected",
Dataviz 🖋,"polygonal, hologram,orthographic projection lines,axis, blueprint, dataviz, infographic,tron, minority report interface,vaporwave, synthwave",
Digital Art 🖋,"intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by wlop, charlie bowater and alexandra fomina",
Digital Painting 🖋,"glow effects, godrays, Hand drawn, render, 8k, octane render, cinema 4d, blender, dark, atmospheric 4k ultra detailed, cinematic, Sharp focus, big depth of field, Masterpiece, colors, 3d octane render, 4k, Concept art 🖋, trending on artstation, hyperrealistic, Vivid colors, extremely detailed CG unity 8k wallpaper, trending on CGSociety, Intricate, High Detail, dramatic",
Digital Portrait 🖋,"digital painting portrait, natural lighting, in the style of pixar, trending on artstation, sharp, focus art by Arthur Streeton and BoÅ¾idar Jakac",
Dramatic 🖋,"Wide angle, chaotic cabin in background. vibrant, photorealistic, realistic, dramatic, dark, sharp focus, 8k.",
Drawing 🖋,"drawing made by Yoji Shinkawa, highly detailed, trending on Artstation, concept art",
Fashion 🖋,"photograph of a Fashion model, full body, highly detailed and intricate, golden ratio, vibrant colors, hyper maximalist, futuristic, city background, luxury, elite, cinematic, fashion, depth of field, colorful, glow, trending on artstation, ultra high d",
Figurine 🖋,"plastic funky pop figurine, product, studio shot, plain background, diffused lighting, centered",
Ghibli 🖋,"(Studio ghibli style, Art by Hayao Miyazaki:1.2), Anime Style, Manga Style, Hand drawn, cinematic, Sharp focus, humorous illustration, big depth of field, Masterpiece, concept art, trending on artstation, Vivid colors 🖋, Simplified style, trending on ArtStation, trending on CGSociety, Intricate, Vibrant colors, Soft Shading, Simplistic Features, Sharp Angles, Playful",
Gold Pendant 🖋,"A style of drawing that is used in the creation of jewelry designs, often featuring intricate details and elegant shapes",
Gothic 🖋,"A style of drawing that is characterized by a dark and macabre aesthetic, often featuring intricate details, ornate decorations, and dramatic lighting",
Horror 🖋,"dark  themed background. very dark and scary horror vibes. hyper intricate details. purple, red, white colors. hyperrealistic artwork style. scary horror metal music vibe. godrays, gorgeous, amazing, intricate, highly detailed, digital painting, artstatio",
Illustration 🖋,"illustration, fisheye lens, high contrast, highly detailed, sharp focus, digital painting, 3 d art, illustration, trending on artstation",
Indie Game 🖋,"Indie game art, Vector Art, Borderlands style, Arcane style, Cartoon style, Line art, Disctinct features, Hand drawn, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions 🖋, Scalable artwork, Digital art, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, trending on artstation, Vivid colors, trending on ArtStation, trending on CGSociety, Intricate 🖋, Low Detail, dramatic",
Isometric Rooms 🖋,"Tiny cute isometric in a cutaway box, soft smooth lighting, soft colors, 100mm lens, 3d blender render",
Isometric 🖋,"Detailed isometric render, unreal engine voxel render, video game, very cozy, nostalgia, c4d render, ultra detailed, octane render, volumetric lighting, 8k post-production isometric, isometric render, tiltshift",
Logo 🖋,A style of drawing that uses traditional drawing tools to create a unique and memorable logo,
Low Poly 🖋,"Low poly character, 3d isometric render, plain background, unity, kawaii, cute, blender, polycount",
Needle Felted 🖋,"3D Felt fiber toy, made from Felt fibers, Tiny 3D render, trending on cgsociety, maya, octane render, made of yarn, Cute",
Nightmare 🖋,"nightmare by tim burton, monster dreams, v-ray octane, highly detailed by artgem, art, trending artstation, blender, vivid color, steampunk, messi, cinematic light, alexa, ultra primme",
Oil Painting,"oil painting from studio ghibli film, by noriyuki morimoto, digital artist, bright and bold colors, expansive sky, sense of adventure, epic scope studio ghibli",
Origami 🖋,"origami style, paper sticker, studio lighting, plain background, pastel colors, papercraft",
Origami,"origami style, paper sticker, studio lighting, plain background, pastel colors, papercraft",
Original Photo Style,"Photorealistic, Hyperrealistic, Hyperdetailed, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
Pencil Sketch 🖋,"Hyperrealist pencil sketch drawing, black and white painting, fantasy art, photo realistic, dynamic lighting, artstation, poster, volumetric lighting, very detailed, 4k, da vinci style made with a charcoal pencil",
Photograph 🖋,"high quality photography, 3 point lighting, flash with softbox, 4k, Canon EOS R3, hdr, smooth, sharp focus, high resolution, award winning photo, 80mm, f2.8, bokeh",
Pixar 🖋,"animation pixar style, pendleton ward, magali villeneuve, artgerm, rob rey and kentaro miura style, golden ratio, behance, trending on art station",
Postapocalyptic 🖋,"fog, animals, birds, deer, bunny, postapocalyptic, overgrown with plant life and ivy, artgerm, yoshitaka amano, gothic interior, 8k, octane render, unreal engine",
Poster Illustration 🖋,"official fanart behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination",
Professional Scenic Photographs 🖋,"long shot scenic professional photograph of {prompt}, perfect viewpoint, highly detailed, wide-angle lens, hyper realistic, with dramatic sky, polarizing filter, natural lighting, vivid colors, everything in sharp focus, HDR, UHD, 64K",
Psycho 🖋,"anthropomorphic, beautiful, borderlands 3 psycho portrait, colourful vector, graphic novel, grunge",
Punky 🖋,"in a punk style, piercings, tatoos, trash, garbages, color paint splats, coloured spoils, dust and scratches, punk crete, rainbow coloured hairs,synthwave,dark mood lighting",
Realistic Anime Face 🖋,"Closeup face portrait, smooth soft skin, beautiful eyes, intricate colored hair, symmetrical, anime wide eyes, soft lighting, detailed face, by makoto shinkai, stanley artgerm lau, wlop, rossdraws, concept art, digital painting",
Realistic Photo Portraits 🖋,"RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera",
Realistic Shaded 🖋,"fine-face, realistic shaded perfect face, fine details. Night setting. Very anime style. Realistic shaded lighting poster by Ilya Kuvshinov katsuhiro, magali villeneuve, artgerm, Jeremy Lipkin and Michael Garmash, Rob Rey and KentarÃµ Miura style, trendin",
Render 3D 🖋,"highly detailed, CG render, octane, bokeh, 4k, 8k, 8mm, unreal engine 3d",
Robotize 🖋,"steampunk robot happy Funny cartoonish, by Gediminas Pranckevicius",
Schematic 🖋,"23rd century scientific schematics, blueprint, hyperdetailed vector technical documents, callouts, legend, patent registry",
Space Hologram 🖋,"hologram floating in space, a vibrant digital illustration, dribbble, quantum wavetracing, black background, behance hd",
Sticker 🖋,"Sticker, Cute sticker, Kawaii sticker, die-cut, plain background, illustration minimalism, vector, pastel colors, kawaii",
Stuffed Plush 🖋,"kawaii plush toy, very cute, visible stitch line, soft lighting, vibrant, studio lighting, PBR, realistic texture, smooth",
Tattoo 🖋,"A style of drawing that is used in the creation of tattoo designs, often featuring bold lines, vibrant colors, and intricate details",
Tokyo Background 🖋,"highly detailed matte painting of a suburban tokyo street with a bright shimmering sky by Studio Ghibli, Mokoto Shinkai, by Artgerm, by beeple, volumetric lighting, octane render, 4K resolution, trending on artstation, vivid colours",
Toon Monster 🖋,"cartoon monster, cute, big eyes, big mouth, art by gediminas pranckevicius and Alexander Jansson, pixar, centered, dramatic lighting, glowing light, simple solid background, no background, detailed face, cinematic, illustration, no gradient, trending on a",
Typography 🖋,"typography by kaws, studio ghibli by tim hildebrandt, michael whelan, background environment. sharpen. an intricate, elegant, highly detailed digital painting, concept art, smooth",
Vector Illustrations,"Vector art, Vivid colors, Clean lines, Sharp edges, Minimalist, Precise geometry, Simplistic, Smooth curves, Bold outlines, Crisp shapes, Flat colors, Illustration art piece, High contrast shadows, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art",
Warm Scene 🖋,"unreal engine, warm indoor lighting, arts station, detailed digital painting, cinematic, character design by mark ryden and pixar and hayao miyazaki, unreal 5, daz, hyperrealistic, octane rendering",
Woolitize 🖋,"puppet,intricated wool material,elegant,highly detailed,patchwork,sewing thread,patches,fabric texture,knitting,badges,embroidery",
____Camera Prompts____,,
Action Photography 🎥,((Action Photography)),
Aerial Perspective 🎥,((Aerial Perspective)),
Aerial View 🎥,((Aerial View)),
Cinematic Still-Shot 🎥,((Cinematic Still-Shot)),
Cinematic 🎥,((Cinematic)),
Close 🎥,((Camera Close)),
Close-Up 🎥,((Close-Up)),
Drone Footage 🎥,((Drone Footage)),
Dutch-Angle 🎥,((Dutch-Angle)),
Eye-Level Shot 🎥,((Eye-Level Shot)),
Far Away 🎥,((Camera Far Away)),
Far-Angle 🎥,((Far-Angle)),
Far-Shot 🎥,((Far-Shot)),
Food Photography 🎥,((Food Photography)),
Full-Body Shot 🎥,((Full-Body Shot)),
Full-Length Shot 🎥,((Full-Length Shot)),
Full-Shot 🎥,((Full-Shot)),
Glamour Portrait 🎥,((Glamour Portrait)),
Glamour Shot 🎥,((Glamour Shot)),
Ground Angle 🎥,((Ground Angle)),
Ground-Shot Angle 🎥,((Ground-Shot Angle)),
Ground-Shot 🎥,((Ground-Shot)),
High Angle 🎥,((High Angle)),
High-Angle Shot 🎥,((High-Angle Shot)),
Low-Angle Shot 🎥,((Low-Angle Shot)),
Macrophotography 🎥,((Macrophotography)),
Macro-Shot 🎥,((Macro-Shot)),
Magazine Photography 🎥,((Magazine Photography)),
Medium-Shot Angle 🎥,((Medium-Shot Angle)),
Medium-Shot 🎥,((Medium-Shot)),
Middle Distance 🎥,((Camera Middle Distance)),
Nature Photography 🎥,((Nature Photography)),
photographed by Sports Illustrated 🎥,((photographed by Sports Illustrated)),
photographed by Vogue 🎥,((photographed by Vogue)),
Portrait Photography 🎥,((Portrait Photography)),
Satellite View 🎥,((Satellite View)),
Sports Photography 🎥,((Sports Photography)),
Stock Photography 🎥,((Stock Photography)),
Surreal Angle 🎥,((Surreal Angle)),
Top-Down Perspective 🎥,((Top-Down Perspective)),
Top-Down Shot 🎥,((Top-Down Shot)),
Unusual Angle 🎥,((Unusual Angle)),
Wedding Photography 🎥,((Wedding Photography)),
Wide-Angle 🎥,((Wide-Angle)),
____SDXL Specific____,,
3d-model,"professional 3d model {prompt}, octane render, highly detailed, volumetric, dramatic lighting",
Analog film,"analog film photo {prompt}, faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage",
Anime,"anime artwork {prompt}, anime style, key visual, vibrant, studio anime,  highly detailed",
Cinematic,"cinematic film still {prompt}, shallow depth of field, vignette, highly detailed, high budget Hollywood film, bokeh, cinemascope, moody, epic, gorgeous, film grain",
Comic book,"comic {prompt}, graphic illustration, comic art, graphic novel art, vibrant, highly detailed",
Digital art,"concept art {prompt}, digital artwork, illustrative, painterly, matte painting, highly detailed",
Fantasy art,"ethereal fantasy concept art of  {prompt}, magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy",
Cyberpunk,"neonpunk style {prompt}, cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional",
Photo with Bokeh,"cinematic photo {prompt}, 35mm photograph, film, bokeh, professional, 4k, highly detailed",
Photo without Bokeh,"cinematic photo {prompt}, 35mm photograph, film, professional, 4k, highly detailed",
____SDXL Effects____,,
Enhancer,"breathtaking {prompt}, masterpiece, award-winning, professional, highly detailed",
____Add Ons____,,
Skin Enhancer,"detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering",
Skin Enhancer (clean),"detailed skin texture, (blush:0.2), (goosebumps:0.3), subsurface scattering",
____Models Prompts____,,
____LorA Prompts____,,
____Notes____,,
Dynamic-Prompts-Example,"A {house|apartment|lodge|cottage} in {summer|winter|autumn|spring} by {2$$artist1|artist2|artist3}
Will produce any of the following prompts:

- A house in summer by artist1, artist2
- A lodge in autumn by artist3, artist1
- A cottage in winter by artist2, artist3
...",
dynamic prompt,"(Masterpiece, hyper-realistic) RAW photograph of 1girl, __Body_pose__, __haircut_female__ {__hair_colors_natural__|__hair_color_colored__}, she has a __body_type__. she has a __facial_expr__ expression <lora:more_details:1>",
